Date,Time,CPU (%),RAM (%)
2025-04-28,19:50:19,0.0,19.4
2025-04-28,19:50:29,4.7,19.4
2025-04-28,19:50:39,0.9,19.3
2025-04-28,19:50:49,0.5,19.3
2025-04-28,19:50:59,0.5,19.3
2025-04-28,19:51:09,0.5,19.3
2025-04-28,19:51:19,0.4,19.3
2025-04-28,19:51:29,5.7,27.7
2025-04-28,19:51:39,87.2,51.5
2025-04-28,19:51:49,87.0,51.3
2025-04-28,19:51:59,87.0,51.3
2025-04-28,19:52:09,87.3,51.2
2025-04-28,19:52:19,87.2,51.2
2025-04-28,19:52:29,83.8,51.0
2025-04-28,19:52:39,51.5,72.4
2025-04-28,19:52:49,55.1,72.2
2025-04-28,19:52:59,55.3,72.2
2025-04-28,19:53:09,55.2,72.3
2025-04-28,19:53:19,55.8,72.3
2025-04-28,19:53:29,55.9,72.3
2025-04-28,19:53:39,50.1,46.0
2025-04-28,19:53:49,76.4,45.7
2025-04-28,19:53:59,76.3,45.6
2025-04-28,19:54:09,76.2,45.6
2025-04-28,19:54:19,63.4,18.4
2025-04-28,19:54:29,3.7,18.4
2025-04-28,19:54:39,4.8,18.5
2025-04-28,19:54:49,4.5,18.5
2025-04-28,19:54:59,1.8,18.5
2025-04-28,19:55:09,5.0,18.9
2025-04-28,19:55:19,4.5,18.1
2025-04-28,19:55:29,5.7,17.9
2025-04-28,19:55:39,6.5,18.3
2025-04-28,19:55:49,5.0,18.8
2025-04-28,19:55:59,2.2,18.4
2025-04-28,19:56:09,5.9,18.5
2025-04-28,19:56:19,9.0,18.9
2025-04-28,19:56:29,3.0,18.7
2025-04-28,19:56:39,3.8,18.5
2025-04-28,19:56:49,6.0,18.6
2025-04-28,19:56:59,7.9,18.7
2025-04-28,19:57:09,2.7,17.4
2025-04-28,19:57:19,7.8,17.7
2025-04-28,19:57:29,2.0,17.5
2025-04-28,19:57:39,0.9,17.5
2025-04-28,19:57:49,1.8,17.5
2025-04-28,19:57:59,3.9,17.4
2025-04-28,19:58:09,1.8,17.4
2025-04-28,19:58:19,6.7,19.4
2025-04-28,19:58:29,4.1,18.8
2025-04-28,19:58:39,4.9,18.7
2025-04-28,19:58:49,0.9,18.7
2025-04-28,19:58:59,1.0,18.1
2025-04-28,19:59:09,9.0,18.8
2025-04-28,19:59:19,4.1,18.6
2025-04-28,19:59:29,0.5,18.5
2025-04-28,19:59:39,0.5,18.1
2025-04-28,19:59:49,0.6,18.0
2025-04-28,19:59:59,0.5,18.0
2025-04-28,20:00:09,0.6,18.0
2025-04-28,20:00:19,0.6,18.0
2025-04-28,20:00:29,0.6,18.0
2025-04-28,20:00:39,0.5,18.0
2025-04-28,20:00:49,0.4,18.0
2025-04-28,20:00:59,0.6,18.0
2025-04-28,20:01:09,0.5,18.0
2025-04-28,20:01:19,0.5,18.0
2025-04-28,20:01:29,2.5,17.3
2025-04-28,20:01:39,0.7,17.3
2025-04-28,20:01:49,10.0,19.3
2025-04-28,20:01:59,0.6,19.2
2025-04-28,20:02:09,0.6,18.1
2025-04-28,20:02:19,0.6,18.1
2025-04-28,20:02:29,2.4,17.5
2025-04-28,20:02:39,0.6,17.3
2025-04-28,20:02:49,0.5,17.3
2025-04-28,20:02:59,0.6,17.3
2025-04-28,20:03:09,0.6,17.3
2025-04-28,20:03:19,1.1,17.3
2025-04-28,20:03:29,1.0,17.3
2025-04-28,20:03:39,7.0,17.9
2025-04-28,20:03:49,0.9,17.6
2025-04-28,20:03:59,0.9,17.4
2025-04-28,20:04:09,2.2,17.4
2025-04-28,20:04:19,0.9,17.4
2025-04-28,20:04:29,1.0,17.4
2025-04-28,20:04:39,1.5,17.4
2025-04-28,20:04:49,0.6,17.4
2025-04-28,20:04:59,0.6,17.4
2025-04-28,20:05:09,0.5,17.4
2025-04-28,20:05:19,0.5,17.4
2025-04-28,20:05:29,0.6,17.4
2025-04-28,20:05:39,0.5,17.4
2025-04-28,20:05:49,0.6,17.4
2025-04-28,20:05:59,0.6,17.4
2025-04-28,20:06:09,0.6,17.4
2025-04-28,20:06:19,0.5,17.4
2025-04-28,20:06:29,14.3,61.2
2025-04-28,20:06:39,26.3,61.2
2025-04-28,20:06:49,26.2,61.0
2025-04-28,20:06:59,26.3,60.9
2025-04-28,20:07:09,26.3,60.9
2025-04-28,20:07:19,26.3,60.9
2025-04-28,20:07:29,24.5,27.3
2025-04-28,20:07:39,89.4,56.0
2025-04-28,20:07:49,89.0,55.4
2025-04-28,20:07:59,89.0,55.2
2025-04-28,20:08:09,89.5,55.3
2025-04-28,20:08:19,89.3,55.3
2025-04-28,20:08:29,84.2,55.0
2025-04-28,20:08:39,70.3,70.8
2025-04-28,20:08:49,85.2,70.6
2025-04-28,20:08:59,85.3,70.1
2025-04-28,20:09:09,85.2,70.1
2025-04-28,20:09:19,85.1,70.1
2025-04-28,20:09:29,85.2,70.1
2025-04-28,20:09:39,18.3,18.1
2025-04-28,20:09:49,1.1,18.0
2025-04-28,20:09:59,1.3,18.0
2025-04-28,20:10:09,1.1,18.0
2025-04-28,20:10:19,1.1,18.0
2025-04-28,20:10:29,1.2,18.0
2025-04-28,20:10:39,1.1,18.0
2025-04-28,20:10:49,1.1,18.0
2025-04-28,20:10:59,1.2,18.0
2025-04-28,20:11:09,1.0,18.0
2025-04-28,20:11:19,1.1,18.0
2025-04-28,20:11:29,1.3,18.0
2025-04-28,20:11:39,1.0,18.0
2025-04-28,20:11:49,8.7,35.9
2025-04-28,20:11:59,66.8,51.6
2025-04-28,20:12:09,66.4,51.3
2025-04-28,20:12:19,66.4,51.2
2025-04-28,20:12:29,66.5,51.2
2025-04-28,20:12:39,66.4,51.2
2025-04-28,20:12:49,59.9,50.9
2025-04-28,20:12:59,1.4,18.1
2025-04-28,20:13:09,1.1,18.1
2025-04-28,20:13:19,1.2,18.1
2025-04-28,20:13:29,1.1,18.1
2025-04-28,20:13:39,1.3,18.1
2025-04-28,20:13:49,1.0,18.1
2025-04-28,20:13:59,1.3,18.1
2025-04-28,20:14:09,1.9,18.0
2025-04-28,20:14:19,2.2,18.0
2025-04-28,20:14:29,1.7,17.5
2025-04-28,20:14:39,5.1,18.6
2025-04-28,20:14:49,7.8,17.8
2025-04-28,20:14:59,6.0,18.7
2025-04-28,20:15:09,4.0,19.3
2025-04-28,20:15:19,6.7,19.1
2025-04-28,20:15:29,6.4,18.9
2025-04-28,20:15:39,3.9,19.1
2025-04-28,20:15:49,8.6,18.4
2025-04-28,20:15:59,93.1,58.2
2025-04-28,20:16:09,3.0,18.8
2025-04-28,20:16:19,0.7,18.4
2025-04-28,20:16:29,0.6,18.4
